GeoFips,GeoName,LineCode,Description,2018
10000,Delaware,1700,"      Arts, entertainment, and recreation",15013
10000,Delaware,1800,      Accommodation and food services,45614
10000,Delaware,1900,      Other services (except government and government enterprises),27198
10000,Delaware,2000,    Government and government enterprises,73775
11000,District of Columbia,70,  Farm employment,0
11000,District of Columbia,100,"      Forestry, fishing, and related activities",89
11000,District of Columbia,200,"      Mining, quarrying, and oil and gas extraction",361
11000,District of Columbia,300,      Utilities,2171
11000,District of Columbia,400,      Construction,18715
11000,District of Columbia,500,      Manufacturing,2154
11000,District of Columbia,600,      Wholesale trade,5441
11000,District of Columbia,700,      Retail trade,26567
11000,District of Columbia,800,      Transportation and warehousing,17462
11000,District of Columbia,900,      Information,21901
11000,District of Columbia,1000,      Finance and insurance,26224
11000,District of Columbia,1100,      Real estate and rental and leasing,31061
11000,District of Columbia,1200,"      Professional, scientific, and technical services",144789
11000,District of Columbia,1300,      Management of companies and enterprises,3300
11000,District of Columbia,1400,      Administrative and support and waste management and remediation services,51918
11000,District of Columbia,1500,      Educational services,61651
11000,District of Columbia,1600,      Health care and social assistance,75865
11000,District of Columbia,1700,"      Arts, entertainment, and recreation",18375
11000,District of Columbia,1800,      Accommodation and food services,74359
11000,District of Columbia,1900,      Other services (except government and government enterprises),84903
11000,District of Columbia,2000,    Government and government enterprises,248331
12000,Florida,70,  Farm employment,77634
12000,Florida,100,"      Forestry, fishing, and related activities",62480
12000,Florida,200,"      Mining, quarrying, and oil and gas extraction",23036
12000,Florida,300,      Utilities,25656
12000,Florida,400,      Construction,758145
12000,Florida,500,      Manufacturing,419793
12000,Florida,600,      Wholesale trade,386091
12000,Florida,700,      Retail trade,1331337
12000,Florida,800,      Transportation and warehousing,605849
12000,Florida,900,      Information,184421
12000,Florida,1000,      Finance and insurance,727122
12000,Florida,1100,      Real estate and rental and leasing,797872
12000,Florida,1200,"      Professional, scientific, and technical services",884191
12000,Florida,1300,      Management of companies and enterprises,140594
12000,Florida,1400,      Administrative and support and waste management and remediation services,1001945
12000,Florida,1500,      Educational services,234348
12000,Florida,1600,      Health care and social assistance,1347765
12000,Florida,1700,"      Arts, entertainment, and recreation",369033
12000,Florida,1800,      Accommodation and food services,1076302
12000,Florida,1900,      Other services (except government and government enterprises),810844
12000,Florida,2000,    Government and government enterprises,1197750
13000,Georgia,70,  Farm employment,51482
13000,Georgia,100,"      Forestry, fishing, and related activities",25931
13000,Georgia,200,"      Mining, quarrying, and oil and gas extraction",9758
13000,Georgia,300,      Utilities,20235
13000,Georgia,400,      Construction,339089
13000,Georgia,500,      Manufacturing,433629
13000,Georgia,600,      Wholesale trade,237132
13000,Georgia,700,      Retail trade,606737
13000,Georgia,800,      Transportation and warehousing,353473
13000,Georgia,900,      Information,138562
13000,Georgia,1000,      Finance and insurance,294145
13000,Georgia,1100,      Real estate and rental and leasing,279046
13000,Georgia,1200,"      Professional, scientific, and technical services",427139
13000,Georgia,1300,      Management of companies and enterprises,81247
13000,Georgia,1400,      Administrative and support and waste management and remediation services,504556
13000,Georgia,1500,      Educational services,128227
13000,Georgia,1600,      Health care and social assistance,577451
13000,Georgia,1700,"      Arts, entertainment, and recreation",124110
13000,Georgia,1800,      Accommodation and food services,480540
13000,Georgia,1900,      Other services (except government and government enterprises),381986
13000,Georgia,2000,    Government and government enterprises,779975
15000,Hawaii,70,  Farm employment,12505
15000,Hawaii,100,"      Forestry, fishing, and related activities",3978
15000,Hawaii,200,"      Mining, quarrying, and oil and gas extraction",761
15000,Hawaii,300,      Utilities,4166
15000,Hawaii,400,      Construction,48714
15000,Hawaii,500,      Manufacturing,18903
15000,Hawaii,600,      Wholesale trade,21248
15000,Hawaii,700,      Retail trade,91256
15000,Hawaii,800,      Transportation and warehousing,43632
15000,Hawaii,900,      Information,11174
15000,Hawaii,1000,      Finance and insurance,29807
15000,Hawaii,1100,      Real estate and rental and leasing,45211
15000,Hawaii,1200,"      Professional, scientific, and technical services",47023
15000,Hawaii,1300,      Management of companies and enterprises,9633
15000,Hawaii,1400,      Administrative and support and waste management and remediation services,64124
15000,Hawaii,1500,      Educational services,20799
15000,Hawaii,1600,      Health care and social assistance,83882
15000,Hawaii,1700,"      Arts, entertainment, and recreation",24436
15000,Hawaii,1800,      Accommodation and food services,118038
15000,Hawaii,1900,      Other services (except government and government enterprises),50165
15000,Hawaii,2000,    Government and government enterprises,181698
16000,Idaho,70,  Farm employment,41266
16000,Idaho,100,"      Forestry, fishing, and related activities",13679
16000,Idaho,200,"      Mining, quarrying, and oil and gas extraction",5020
16000,Idaho,300,      Utilities,3237
16000,Idaho,400,      Construction,72421
16000,Idaho,500,      Manufacturing,75384
16000,Idaho,600,      Wholesale trade,31413
16000,Idaho,700,      Retail trade,112693
16000,Idaho,800,      Transportation and warehousing,35854
16000,Idaho,900,      Information,12152
16000,Idaho,1000,      Finance and insurance,42645
16000,Idaho,1100,      Real estate and rental and leasing,53670
16000,Idaho,1200,"      Professional, scientific, and technical services",62003
16000,Idaho,1300,      Management of companies and enterprises,8092
16000,Idaho,1400,      Administrative and support and waste management and remediation services,61620
16000,Idaho,1500,      Educational services,18736
16000,Idaho,1600,      Health care and social assistance,107284
16000,Idaho,1700,"      Arts, entertainment, and recreation",23083
16000,Idaho,1800,      Accommodation and food services,73376
16000,Idaho,1900,      Other services (except government and government enterprises),49687
16000,Idaho,2000,    Government and government enterprises,135420
17000,Illinois,70,  Farm employment,74212
17000,Illinois,100,"      Forestry, fishing, and related activities",13679
17000,Illinois,200,"      Mining, quarrying, and oil and gas extraction",22876
17000,Illinois,300,      Utilities,25567
17000,Illinois,400,      Construction,343299
17000,Illinois,500,      Manufacturing,608272
17000,Illinois,600,      Wholesale trade,320264
17000,Illinois,700,      Retail trade,710934
17000,Illinois,800,      Transportation and warehousing,492507
17000,Illinois,900,      Information,115084
17000,Illinois,1000,      Finance and insurance,498235
17000,Illinois,1100,      Real estate and rental and leasing,321644
17000,Illinois,1200,"      Professional, scientific, and technical services",586203
17000,Illinois,1300,      Management of companies and enterprises,102565
17000,Illinois,1400,      Administrative and support and waste management and remediation services,549239
17000,Illinois,1500,      Educational services,215498
17000,Illinois,1600,      Health care and social assistance,888849
17000,Illinois,1700,"      Arts, entertainment, and recreation",175314
17000,Illinois,1800,      Accommodation and food services,560504
17000,Illinois,1900,      Other services (except government and government enterprises),457656
17000,Illinois,2000,    Government and government enterprises,869969
18000,Indiana,70,  Farm employment,63915
18000,Indiana,100,"      Forestry, fishing, and related activities",10841
18000,Indiana,200,"      Mining, quarrying, and oil and gas extraction",11372
18000,Indiana,300,      Utilities,14373
18000,Indiana,400,      Construction,210513
18000,Indiana,500,      Manufacturing,558603
18000,Indiana,600,      Wholesale trade,126838
18000,Indiana,700,      Retail trade,392564
18000,Indiana,800,      Transportation and warehousing,200575
18000,Indiana,900,      Information,38704
18000,Indiana,1000,      Finance and insurance,153708
18000,Indiana,1100,      Real estate and rental and leasing,149086
18000,Indiana,1200,"      Professional, scientific, and technical services",184446
18000,Indiana,1300,      Management of companies and enterprises,38102
18000,Indiana,1400,      Administrative and support and waste management and remediation services,240637
18000,Indiana,1500,      Educational services,88477
18000,Indiana,1600,      Health care and social assistance,450661
18000,Indiana,1700,"      Arts, entertainment, and recreation",76538
18000,Indiana,1800,      Accommodation and food services,284095
18000,Indiana,1900,      Other services (except government and government enterprises),226133
18000,Indiana,2000,    Government and government enterprises,447223
19000,Iowa,70,  Farm employment,87227
19000,Iowa,100,"      Forestry, fishing, and related activities",17149
19000,Iowa,200,"      Mining, quarrying, and oil and gas extraction",4371
19000,Iowa,300,      Utilities,6725
19000,Iowa,400,      Construction,118139
19000,Iowa,500,      Manufacturing,230349
19000,Iowa,600,      Wholesale trade,70573
19000,Iowa,700,      Retail trade,221460
19000,Iowa,800,      Transportation and warehousing,87513
19000,Iowa,900,      Information,27080
19000,Iowa,1000,      Finance and insurance,134642
19000,Iowa,1100,      Real estate and rental and leasing,74858
19000,Iowa,1200,"      Professional, scientific, and technical services",82840
19000,Iowa,1300,      Management of companies and enterprises,21327
19000,Iowa,1400,      Administrative and support and waste management and remediation services,88256
19000,Iowa,1500,      Educational services,48215
19000,Iowa,1600,      Health care and social assistance,219643
19000,Iowa,1700,"      Arts, entertainment, and recreation",37625
19000,Iowa,1800,      Accommodation and food services,133164
19000,Iowa,1900,      Other services (except government and government enterprises),105215
19000,Iowa,2000,    Government and government enterprises,271622
20000,Kansas,70,  Farm employment,63499
20000,Kansas,100,"      Forestry, fishing, and related activities",11574
20000,Kansas,200,"      Mining, quarrying, and oil and gas extraction",40066
20000,Kansas,300,      Utilities,6622
20000,Kansas,400,      Construction,94068
20000,Kansas,500,      Manufacturing,172666
20000,Kansas,600,      Wholesale trade,64250
20000,Kansas,700,      Retail trade,185093
20000,Kansas,800,      Transportation and warehousing,80331
20000,Kansas,900,      Information,23669
20000,Kansas,1000,      Finance and insurance,101139
20000,Kansas,1100,      Real estate and rental and leasing,72790
20000,Kansas,1200,"      Professional, scientific, and technical services",110326
20000,Kansas,1300,      Management of companies and enterprises,28447
20000,Kansas,1400,      Administrative and support and waste management and remediation services,102697
20000,Kansas,1500,      Educational services,28687
20000,Kansas,1600,      Health care and social assistance,204522
20000,Kansas,1700,"      Arts, entertainment, and recreation",34295
20000,Kansas,1800,      Accommodation and food services,122331
20000,Kansas,1900,      Other services (except government and government enterprises),97540
20000,Kansas,2000,    Government and government enterprises,296388
21000,Kentucky,70,  Farm employment,83011
21000,Kentucky,100,"      Forestry, fishing, and related activities",13611
21000,Kentucky,200,"      Mining, quarrying, and oil and gas extraction",18112
21000,Kentucky,300,      Utilities,7187
21000,Kentucky,400,      Construction,130350
21000,Kentucky,500,      Manufacturing,260659
21000,Kentucky,600,      Wholesale trade,80641
21000,Kentucky,700,      Retail trade,261072
21000,Kentucky,800,      Transportation and warehousing,140145
21000,Kentucky,900,      Information,27811
21000,Kentucky,1000,      Finance and insurance,107471
21000,Kentucky,1100,      Real estate and rental and leasing,92673
21000,Kentucky,1200,"      Professional, scientific, and technical services",117017
21000,Kentucky,1300,      Management of companies and enterprises,24220
21000,Kentucky,1400,      Administrative and support and waste management and remediation services,156354
21000,Kentucky,1500,      Educational services,41546
21000,Kentucky,1600,      Health care and social assistance,275379
21000,Kentucky,1700,"      Arts, entertainment, and recreation",43118
21000,Kentucky,1800,      Accommodation and food services,186486
21000,Kentucky,1900,      Other services (except government and government enterprises),132520
21000,Kentucky,2000,    Government and government enterprises,350592
22000,Louisiana,70,  Farm employment,32315
22000,Louisiana,100,"      Forestry, fishing, and related activities",18502
22000,Louisiana,200,"      Mining, quarrying, and oil and gas extraction",62571
22000,Louisiana,300,      Utilities,9087
22000,Louisiana,400,      Construction,212255
22000,Louisiana,500,      Manufacturing,146399
22000,Louisiana,600,      Wholesale trade,75408
22000,Louisiana,700,      Retail trade,275971
22000,Louisiana,800,      Transportation and warehousing,123547
22000,Louisiana,900,      Information,29944
22000,Louisiana,1000,      Finance and insurance,107202
22000,Louisiana,1100,      Real estate and rental and leasing,124685
22000,Louisiana,1200,"      Professional, scientific, and technical services",145676
22000,Louisiana,1300,      Management of companies and enterprises,27805
22000,Louisiana,1400,      Administrative and support and waste management and remediation services,160644
22000,Louisiana,1500,      Educational services,56824
22000,Louisiana,1600,      Health care and social assistance,317795
22000,Louisiana,1700,"      Arts, entertainment, and recreation",55035
22000,Louisiana,1800,      Accommodation and food services,229864
22000,Louisiana,1900,      Other services (except government and government enterprises),165747
22000,Louisiana,2000,    Government and government enterprises,355963
23000,Maine,70,  Farm employment,10536
23000,Maine,100,"      Forestry, fishing, and related activities",14469
23000,Maine,200,"      Mining, quarrying, and oil and gas extraction",1200
23000,Maine,300,      Utilities,1794
23000,Maine,400,      Construction,56448
23000,Maine,500,      Manufacturing,57660
23000,Maine,600,      Wholesale trade,21723
23000,Maine,700,      Retail trade,99670
23000,Maine,800,      Transportation and warehousing,25208
23000,Maine,900,      Information,10009
23000,Maine,1000,      Finance and insurance,33480
23000,Maine,1100,      Real estate and rental and leasing,35786
23000,Maine,1200,"      Professional, scientific, and technical services",47428
23000,Maine,1300,      Management of companies and enterprises,11847
23000,Maine,1400,      Administrative and support and waste management and remediation services,43935
23000,Maine,1500,      Educational services,22113
23000,Maine,1600,      Health care and social assistance,117616
23000,Maine,1700,"      Arts, entertainment, and recreation",22205
23000,Maine,1800,      Accommodation and food services,65835
23000,Maine,1900,      Other services (except government and government enterprises),41913
23000,Maine,2000,    Government and government enterprises,107584
24000,Maryland,70,  Farm employment,17977
24000,Maryland,100,"      Forestry, fishing, and related activities",6712
24000,Maryland,200,"      Mining, quarrying, and oil and gas extraction",3889
24000,Maryland,300,      Utilities,10628
24000,Maryland,400,      Construction,238524
24000,Maryland,500,      Manufacturing,120784
24000,Maryland,600,      Wholesale trade,94418
24000,Maryland,700,      Retail trade,343025
24000,Maryland,800,      Transportation and warehousing,181074
24000,Maryland,900,      Information,50843
24000,Maryland,1000,      Finance and insurance,165752
24000,Maryland,1100,      Real estate and rental and leasing,191129
24000,Maryland,1200,"      Professional, scientific, and technical services",365956
24000,Maryland,1300,      Management of companies and enterprises,31255
24000,Maryland,1400,      Administrative and support and waste management and remediation services,240393
24000,Maryland,1500,      Educational services,109840
24000,Maryland,1600,      Health care and social assistance,449042
24000,Maryland,1700,"      Arts, entertainment, and recreation",95861
24000,Maryland,1800,      Accommodation and food services,257449
24000,Maryland,1900,      Other services (except government and government enterprises),216720
24000,Maryland,2000,    Government and government enterprises,570851
25000,Massachusetts,70,  Farm employment,10368
25000,Massachusetts,100,"      Forestry, fishing, and related activities",10231
25000,Massachusetts,200,"      Mining, quarrying, and oil and gas extraction",3219
25000,Massachusetts,300,      Utilities,12363
25000,Massachusetts,400,      Construction,259699
25000,Massachusetts,500,      Manufacturing,260513
25000,Massachusetts,600,      Wholesale trade,137829
25000,Massachusetts,700,      Retail trade,428369
25000,Massachusetts,800,      Transportation and warehousing,199875
25000,Massachusetts,900,      Information,107889
25000,Massachusetts,1000,      Finance and insurance,283690
25000,Massachusetts,1100,      Real estate and rental and leasing,214159
25000,Massachusetts,1200,"      Professional, scientific, and technical services",487312
25000,Massachusetts,1300,      Management of companies and enterprises,77347
25000,Massachusetts,1400,      Administrative and support and waste management and remediation services,252126
25000,Massachusetts,1500,      Educational services,251175
25000,Massachusetts,1600,      Health care and social assistance,699211
25000,Massachusetts,1700,"      Arts, entertainment, and recreation",132420
25000,Massachusetts,1800,      Accommodation and food services,335983
25000,Massachusetts,1900,      Other services (except government and government enterprises),244565
25000,Massachusetts,2000,    Government and government enterprises,464508
26000,Michigan,70,  Farm employment,63670
26000,Michigan,100,"      Forestry, fishing, and related activities",17357
26000,Michigan,200,"      Mining, quarrying, and oil and gas extraction",16456
26000,Michigan,300,      Utilities,20869
26000,Michigan,400,      Construction,276439
26000,Michigan,500,      Manufacturing,657448
26000,Michigan,600,      Wholesale trade,187039
26000,Michigan,700,      Retail trade,568780
26000,Michigan,800,      Transportation and warehousing,205251
26000,Michigan,900,      Information,72040
26000,Michigan,1000,      Finance and insurance,251674
26000,Michigan,1100,      Real estate and rental and leasing,260936
26000,Michigan,1200,"      Professional, scientific, and technical services",418058
26000,Michigan,1300,      Management of companies and enterprises,75352
26000,Michigan,1400,      Administrative and support and waste management and remediation services,381267
26000,Michigan,1500,      Educational services,107722
26000,Michigan,1600,      Health care and social assistance,685678
26000,Michigan,1700,"      Arts, entertainment, and recreation",112537
26000,Michigan,1800,      Accommodation and food services,410769
26000,Michigan,1900,      Other services (except government and government enterprises),324574
26000,Michigan,2000,    Government and government enterprises,614686
27000,Minnesota,70,  Farm employment,74572
27000,Minnesota,100,"      Forestry, fishing, and related activities",14711
27000,Minnesota,200,"      Mining, quarrying, and oil and gas extraction",10232
27000,Minnesota,300,      Utilities,12828
27000,Minnesota,400,      Construction,182269
27000,Minnesota,500,      Manufacturing,339257
27000,Minnesota,600,      Wholesale trade,140532
27000,Minnesota,700,      Retail trade,365550
27000,Minnesota,800,      Transportation and warehousing,155950
27000,Minnesota,900,      Information,58725
27000,Minnesota,1000,      Finance and insurance,219070
27000,Minnesota,1100,      Real estate and rental and leasing,151165
27000,Minnesota,1200,"      Professional, scientific, and technical services",243471
27000,Minnesota,1300,      Management of companies and enterprises,85181
27000,Minnesota,1400,      Administrative and support and waste management and remediation services,172042
27000,Minnesota,1500,      Educational services,94444
27000,Minnesota,1600,      Health care and social assistance,512788
27000,Minnesota,1700,"      Arts, entertainment, and recreation",94943
27000,Minnesota,1800,      Accommodation and food services,242635
27000,Minnesota,1900,      Other services (except government and government enterprises),196204
27000,Minnesota,2000,    Government and government enterprises,429193
28000,Mississippi,70,  Farm employment,39129
28000,Mississippi,100,"      Forestry, fishing, and related activities",15087
28000,Mississippi,200,"      Mining, quarrying, and oil and gas extraction",12634
28000,Mississippi,300,      Utilities,8246
28000,Mississippi,400,      Construction,84710
28000,Mississippi,500,      Manufacturing,151217
28000,Mississippi,600,      Wholesale trade,38680
28000,Mississippi,700,      Retail trade,171251
28000,Mississippi,800,      Transportation and warehousing,71856
28000,Mississippi,900,      Information,14617
28000,Mississippi,1000,      Finance and insurance,57202
28000,Mississippi,1100,      Real estate and rental and leasing,54439
28000,Mississippi,1200,"      Professional, scientific, and technical services",58101
28000,Mississippi,1300,      Management of companies and enterprises,13446
28000,Mississippi,1400,      Administrative and support and waste management and remediation services,104230
28000,Mississippi,1500,      Educational services,25932
28000,Mississippi,1600,      Health care and social assistance,161292
28000,Mississippi,1700,"      Arts, entertainment, and recreation",20480
28000,Mississippi,1800,      Accommodation and food services,137726
28000,Mississippi,1900,      Other services (except government and government enterprises),94829
28000,Mississippi,2000,    Government and government enterprises,270723
29000,Missouri,70,  Farm employment,93918
29000,Missouri,100,"      Forestry, fishing, and related activities",14418
29000,Missouri,200,"      Mining, quarrying, and oil and gas extraction",8762
29000,Missouri,300,      Utilities,12236
29000,Missouri,400,      Construction,196223
29000,Missouri,500,      Manufacturing,288323
29000,Missouri,600,      Wholesale trade,129406
29000,Missouri,700,      Retail trade,383835
29000,Missouri,800,      Transportation and warehousing,152786
29000,Missouri,900,      Information,57370
29000,Missouri,1000,      Finance and insurance,195440
29000,Missouri,1100,      Real estate and rental and leasing,164140
29000,Missouri,1200,"      Professional, scientific, and technical services",229509
29000,Missouri,1300,      Management of companies and enterprises,69414
29000,Missouri,1400,      Administrative and support and waste management and remediation services,208670
29000,Missouri,1500,      Educational services,85272
29000,Missouri,1600,      Health care and social assistance,454955
29000,Missouri,1700,"      Arts, entertainment, and recreation",76382
29000,Missouri,1800,      Accommodation and food services,282842
29000,Missouri,1900,      Other services (except government and government enterprises),206545
29000,Missouri,2000,    Government and government enterprises,469390
30000,Montana,70,  Farm employment,29527
30000,Montana,100,"      Forestry, fishing, and related activities",8336
30000,Montana,200,"      Mining, quarrying, and oil and gas extraction",12081
30000,Montana,300,      Utilities,2958
30000,Montana,400,      Construction,48905
30000,Montana,500,      Manufacturing,25557
30000,Montana,600,      Wholesale trade,18913
30000,Montana,700,      Retail trade,75647
30000,Montana,800,      Transportation and warehousing,23174
30000,Montana,900,      Information,8570
30000,Montana,1000,      Finance and insurance,25688
30000,Montana,1100,      Real estate and rental and leasing,38888
30000,Montana,1200,"      Professional, scientific, and technical services",39260
30000,Montana,1300,      Management of companies and enterprises,2642
30000,Montana,1400,      Administrative and support and waste management and remediation services,26398
30000,Montana,1500,      Educational services,8769
30000,Montana,1600,      Health care and social assistance,77273
30000,Montana,1700,"      Arts, entertainment, and recreation",21488
30000,Montana,1800,      Accommodation and food services,60151
30000,Montana,1900,      Other services (except government and government enterprises),35606
30000,Montana,2000,    Government and government enterprises,95285
31000,Nebraska,70,  Farm employment,55247
31000,Nebraska,100,"      Forestry, fishing, and related activities",11872
